"avellaneda_sab_cuba" "bazan_various_spain" "carrasquilla_frutosDeMiTierra_colombia" "diaz_manuela_colombia" "galdos_trafalgar_spain" "hernandez_martinFierro_argentina" "isaacs_maria_colombia" "lizardi_periquilloFull_mexico" "marmol_amalia_argentina" "mitre_soledad_bolivia" "palacios_elAlferezReal_colombia" "samper_dolores_colombia"
"de" 5.1554797117937 5.48122845304741 4.80318114200709 5.52610041632566 5.00292797189147 3.11564474997228 5.78530821536061 4.59751308900524 5.87670260821406 4.84123593905738 5.48760649258318 4.79592885781844
"y" 3.70686386044748 4.20027200556663 3.5644810619064 3.90587007318317 3.23248096818271 3.42332852866171 3.14903578196411 4.11411232746311 3.37579397358902 3.5834638568513 3.65358429633557 3.6907576847949
"que" 3.09632157755025 2.94778125691875 3.19401533356219 3.84537831073788 3.67167675190318 3.92504712274088 2.93724222494705 4.30003569728701 3.40218764603056 3.79704779533912 3.21857640353308 3.81412562969055
"la" 3.30868411073189 4.42167188537812 3.17255978944959 4.11937041122537 3.32812804997072 2.58897882248586 3.27722661910601 2.46162541646835 3.85996642378719 3.18002752859652 3.35112728499645 3.22812789143621
"el" 2.19567690557452 2.75484707594016 2.42161574550864 2.19549514286731 2.54147960179582 3.30690763942787 2.09564151153718 2.48244883388862 2.37932466813202 2.074137358204 2.51123669972405 1.69630924231521
"en" 2.12172923777019 2.160230255875 2.02969447305184 1.93692251123842 2.1842670310365 2.10666370994567 2.55266971352135 2.00351023322228 2.32480659062981 1.9459869951113 2.61968742092135 2.31314896679346
"a" 2.48767538869928 2.55558718410981 0.144467330358165 2.36155096134458 2.58442318953738 0.615367557378867 2.61955188942147 2.50773441218467 2.52384084182835 2.86677108548104 2.54497692409655 2.45707823583839
"no" 1.26848691695108 1.39165638738653 1.43895182515162 1.67953599259866 1.45422603943002 1.81838341279521 0.819306654776502 1.63463826749167 1.41617196559304 1.12012909962504 1.1351175485317 1.49583633185977
"los" 1.03526734926052 1.17025650757504 1.23011786245566 1.82068343830433 1.40152254538356 1.14757733673356 1.2930554007357 1.45912660637792 1.34910607660223 1.00147135602069 1.23513321363587 1.13601315924746
"se" 1.05991657186196 1.39798209823829 1.63491246138002 1.50754960917577 1.33710716377123 1.51069963410578 0.936350462601717 1.13933841028082 1.10766887623531 1.65171579097252 1.45685468808368 1.32106507659093
"con" 1.14144861585135 1.06271942309517 1.3903192584964 1.12324900069981 1.21998828811243 0.995121410355915 0.780292052168097 1.34311042360781 0.98132539503972 1.22454791399687 1.17006278091749 1.1205921661355
"su" 1.89419795221843 1.08169655565044 0.544970820460007 0.829092979397217 0.870583642397033 0.648630668588535 1.13699699030208 0.801701570680628 1.3244431367798 1.50458018890313 1.11824743634545 0.997224221239848
"las" 0.803943875616231 0.888762374671854 1.1299919899302 1.25134920352513 0.810072223306656 0.767823483756514 1.58845167762791 0.754105188005712 0.974835147718029 0.673975983672695 1.09535228409269 0.873856276344197
"por" 0.803943875616231 0.806528133599013 1.07134683602243 1.2193241528188 0.997462424360726 0.726244594744428 0.92520343328503 1.0084483579248 0.942816594264352 1.05368076320661 0.888090905804524 0.745348000411227
"un" 1.20022753128555 1.07537084479868 0.853930655681428 0.959565408200785 0.882295529962912 1.40259452267435 0.746850964218036 0.928129462160876 0.853251181225013 1.01571028525322 0.783255208647137 1.18227613858332
"del" 0.735684489950702 0.986810892874087 0.633653736125415 0.836209657331957 0.823736092133516 0.460139705067081 0.86389477204325 0.514635887672537 0.858443379082366 0.730931700602781 0.748309976261342 0.616839724478256
"una" 0.923397800530906 0.907739507227125 0.637944844947935 0.875351385973028 0.489947296505954 0.618139483313006 0.875041801359938 0.559257496430271 0.802194568961041 0.991978736532346 0.590453926518611 0.873856276344197
"lo" 0.420932878270762 0.60410538634279 0.805298089026204 0.845698561244944 0.571930509467109 1.35547178179399 0.462601716642515 0.893919562113279 0.693158413956628 0.621766576486782 0.720594791955366 0.585997738254344
"al" 0.671217292377702 0.895088085523611 0.643666323377961 0.543239749018491 0.7378489166504 1.02561259563144 0.752424478876379 0.550333174678724 0.625659841811039 0.740424320091129 0.796510296793474 0.98694355916521
"me" 0.396283655669321 0.468102603030015 0.337567227371553 0.807742945592997 0.907671286355651 1.65206785674687 0.980938579868465 1.41301761066159 0.365184582633829 0.840096824718781 0.433802884789184 1.75285288372571
"es" 0.517633674630262 0.389031217383053 0.499198993019796 0.806556832603874 0.322076908061683 0.920279410134161 0.256381674283803 0.639576392194193 0.695321829730525 0.450899425696521 0.498873317507561 0.478050786470649
"para" 0.572620401971938 0.385868361957175 0.506350841057329 0.70573722852839 0.644153816123365 0.385297704845327 0.774718537509754 0.66188719657306 0.523979300437875 0.465138354929043 0.613349078771374 0.524313765806518
"le" 0.527114144861585 0.790713856469621 0.845348438036389 0.708109454506636 0.413820027327738 0.767823483756514 0.457028201984171 0.605366492146597 0.377299710967653 0.455645735440695 0.620579126851194 0.375244165724273
"mi" 0.527114144861585 0.230888446089129 0.313250944043941 0.440047918964761 0.860823736092133 0.584876372103337 1.75008360271988 1.00547358400762 0.343550424894858 0.450899425696521 0.386807572270356 1.37246838696412
"como" 0.401971937808115 0.442799759622988 0.560704886142579 0.476817421627584 0.626585984774546 0.842665483978268 0.468175231300858 0.520585435506902 0.411048997040447 0.512601452370782 0.384397556243749 0.390665158836229
"pero" 0.523321956769056 0.268842711199671 0.473452340084678 0.508842472333915 0.407964083544798 0.360350371438075 0.234087615650429 0.41498096144693 0.547344190795964 0.541079310835825 0.342222275778134 0.534594427881156
"más" 0.517633674630262 0.39535692823481 0.49776862341229 0.389045060432457 0.585594378293968 0.0110877037365562 0.373425482109018 0.55777010947168 0.470759272400007 0.479377284161564 0.322942147565281 0.354682841574997
"sus" 0.729996207811907 0.433311193345352 0.250314681313651 0.35108944478051 0.314268983017763 0.177403259784899 0.763571508193067 0.407544026653974 0.478980252340816 0.631259195975129 0.368732452070806 0.370103834686954
"yo" 0.409556313993174 0.199259891830344 0.215985810733494 0.512400811301285 0.470427483896155 0.643086816720257 0.59636606844276 0.682710613993337 0.408020214956991 0.232569177464521 0.304867027365732 0.339261848463041
"usted" 0.00189609404626469 0.202422747256223 0.107277720562993 0.545611974996738 0.124926800702713 0 0 0.295990004759638 0.723446234791187 0 0.206056370274862 0.138788938007608
"era" 0.316647705726204 0.303634120884334 0.437693099897013 0.304831038204699 0.413820027327738 0.31877148242599 0.312116820867239 0.343586387434555 0.2228318247114 0.284778584650434 0.472363141214889 0.303279531201809
"si" 0.284414106939704 0.332099819717241 0.423389403821948 0.289411569346096 0.409916064805778 0.584876372103337 0.195073013042024 0.374821513564969 0.282974783225739 0.223076557976174 0.255461698820297 0.205613241492752
"había" 0.364050056882821 0.256191289496157 0.224568028378533 0.288225456356973 0.347452664454421 0.00554385186827808 0.590792553784416 0.243931461208948 0.271725021201475 0.536333001091651 0.522973477773627 0.709365683149995
"don" 0.0511945392491468 0.0664199639434482 0.124442155853072 0.725901149343486 0.0195198126097989 0.0166315556048342 0.0111470293166871 0.10411708710138 0.385088007753682 0 0.627809174931013 0.113087282821014
"á" 0 0 2.25283213182286 0 0 1.69364674575895 0 0 0 0 0 0
"qué" 0.191505498672734 0.215074168959737 0.431971621466987 0.38667283445421 0.197150107358969 0.072070074287615 0.144911381116932 0.392670157068063 0.28254210007096 0.180359770278608 0.262691746900117 0.267297213940578
"sin" 0.367842244975351 0.284656988329063 0.214555441125987 0.204011434129215 0.271325395276205 0.393613482647744 0.234087615650429 0.321275583055688 0.277782585368386 0.175613460534434 0.248231650740477 0.416366814022823
"porque" 0.183921122487675 0.16763133757156 0.205973223480947 0.495795229453558 0.18153425727113 0.279964519348043 0.111470293166871 0.365897191813422 0.218504993163606 0.332241682092173 0.304867027365732 0.0411226482985504
"dijo" 0.200985968904058 0.0537685422399342 0.16735324407827 0.300086586248206 0.18543821979309 0.119192815167979 0.111470293166871 0.226082817705854 0.338358227037505 0.30376382362713 0.220516466434502 0.12850827593297
"ya" 0.324232081911263 0.278331277477307 0.0557844146927566 0.207569773096585 0.19324614483701 0.335403038030824 0.406866570059079 0.295990004759638 0.216774260544488 0.204091318999478 0.372347476110716 0.174771255268839
"cuando" 0.21805081532044 0.202422747256223 0.175935461723309 0.276364326465739 0.308413039234823 0.354806519569797 0.289822762233865 0.25880533079486 0.209851330068018 0.341734301580521 0.192801282128526 0.210753572530071
"ha" 0.225635191505499 0.16763133757156 0.105847350955487 0.218244789998695 0.173726332227211 0.224526000665262 0.105896778508527 0.176999048072347 0.310666505131622 0.270539655417913 0.204851362261559 0.12850827593297
"señor" 0.0777398558968525 0.0790713856469621 0.115859938208033 0.186219739292365 0.0644153816123365 0.0304911852755294 0.0278675732917178 0.153200856734888 0.477249519721698 0.0854335753951303 0.148215985636304 0.0051403310373188
"ni" 0.161167993932499 0.319448398013727 0.338997596979059 0.214686451031325 0.214717938707788 0.457367779132942 0.0445881172667484 0.385233222275107 0.146679589470223 0.099672504627652 0.165086097822551 0.149069600082245
"todo" 0.132726583238529 0.129677072461018 0.328985009726513 0.240780936792039 0.204958032402889 0.23006985253354 0.167205439750307 0.15617563065207 0.214178161615812 0.327495372347999 0.184366226035403 0.210753572530071
"tan" 0.293894577171028 0.205585602682101 0.430541251859481 0.181475287335872 0.298653132929924 0.194034815389733 0.222940586333742 0.24690623512613 0.113795669706987 0.204091318999478 0.1831612180221 0.185051917343477
"daniel" 0 0 0.00143036960750658 0.00237222597824669 0 0 0 0 0.49845099430589 0 0.528998517840144 0
"o" 0.12135001896094 0.221399879811494 0.0143036960750658 0.269247648530999 0.234237751317587 0.127508592970396 0.0557351465834355 0.455140409328891 0.226293289949636 0.0664483364184347 0.209671394314772 0.12850827593297
"muy" 0.09290860826697 0.120188506183382 0.399073120494336 0.283481004400479 0.210813976185829 0.216210222862845 0.0724556905584662 0.267729652546406 0.134564461136399 0.185106080022782 0.237386578620748 0.195332579418115
"sobre" 0.25028441410694 0.126514217035139 0.11729030781554 0.176730835379378 0.152254538356432 0.0554385186827808 0.451454687325828 0.0996549262256069 0.303310891500372 0.327495372347999 0.145805969609698 0.113087282821014
"ella" 0.337504740235116 0.14549134959041 0.241732463668612 0.109122394999348 0.0936951005270349 0.0471227408803637 0.479322260617545 0.123453117563065 0.168746430363973 0.289524894394608 0.307277043392339 0.221034234604709
"él" 0.271141448615851 0.164468482145681 0.260327268566197 0.120983524890581 0.163966425922311 0.113648963299701 0.228514100992086 0.157663017610662 0.162256183042282 0.218330248232 0.284381891139576 0.149069600082245
"pues" 0.151687523701176 0.0948856627763545 0.296086508753862 0.183847513314118 0.226429826273668 0.313227630557712 0.0891762345334968 0.273679200380771 0.150141054708458 0.0474630974417391 0.187981250075313 0.102806620746376
"bien" 0.106181266590823 0.101211373628111 0.210264332303467 0.116239072934088 0.146398594573492 0.113648963299701 0.0557351465834355 0.239469300333175 0.223697191020959 0.175613460534434 0.184366226035403 0.0668243034851444
"todos" 0.106181266590823 0.0727456747952051 0.0858221764503948 0.161311366520775 0.251805582666406 0.149684000443508 0.100323263850184 0.200797239409805 0.211149379532356 0.166120841046087 0.187981250075313 0.154209931119564
"casa" 0.113765642775882 0.107537084479868 0.165922874470763 0.169614157444638 0.105406988092914 0.0194034815389733 0.156058410433619 0.157663017610662 0.212014745841915 0.175613460534434 0.237386578620748 0.210753572530071
"dos" 0.202882062950322 0.0885599519245975 0.15877102643323 0.196894756194475 0.150302557095452 0.135824370772813 0.133764351800245 0.160637791527844 0.173938628221326 0.208837628743652 0.167496113849157 0.123367944895651
"estaba" 0.104285172544558 0.0695828193693266 0.133024373498112 0.207569773096585 0.163966425922311 0.121964741102118 0.25080815962546 0.178486435030938 0.147112272625002 0.237315487208695 0.239796594647354 0.21589390356739
"sí" 0.132726583238529 0.091722807350476 0.266048746996224 0.111494620977594 0.0800312317001757 0.0194034815389733 0.0613086612417791 0.0981675392670157 0.257879160248533 0.137642982581043 0.130140865436755 0.051403310373188
"esta" 0.233219567690557 0.0474428313881772 0.140176221535645 0.143519671683925 0.101503025570955 0.124736667036257 0.0557351465834355 0.208234174202761 0.180861558697797 0.142389292325217 0.130140865436755 0.0771049655597821
"ese" 0.106181266590823 0.0506056868140557 0.160201396040737 0.0747251183147707 0.0390396252195979 0.127508592970396 0.150484895775276 0.0342099000475964 0.201630350127209 0.0901798851393042 0.354272355911167 0.154209931119564
"te" 0.238907849829352 0.110699939905747 0.241732463668612 0.149450236629541 0.0605114190903767 0.157999778245925 0.139337866458589 0.237981913374584 0.0809117499437512 0.346480611324695 0.128935857423452 0.159350262156883
"hasta" 0.0625711035267349 0.227725590663251 0.160201396040737 0.163683592499021 0.138590669529573 0.227297926599401 0.111470293166871 0.0966801523084246 0.146679589470223 0.113911433860174 0.171111137889067 0.143929269044927
"entre" 0.12514220705347 0.148654205016289 0.131594003890605 0.151822462607788 0.109310950614874 0.17185940791662 0.100323263850184 0.0862684435982865 0.144083490541546 0.0949261948834781 0.126525841396845 0.205613241492752
"esa" 0.0701554797117937 0.0506056868140557 0.160201396040737 0.072352892336524 0.0214717938707788 0.155227852311786 0.117043807825215 0.0163612565445026 0.189082538638606 0.0569557169300869 0.277151843059756 0.0873856276344197
"he" 0.197193780811528 0.0569313976658127 0.0457718274402105 0.0664223273909073 0.0975990630489947 0.255017185940792 0.0836027198751533 0.141301761066159 0.170044479828311 0.218330248232 0.107245713183993 0.12850827593297
"este" 0.193401592718999 0.0664199639434482 0.0944043940954343 0.110308507988471 0.115166894397814 0.141368222641091 0.0278675732917178 0.175511661113755 0.159227400958826 0.132896672836869 0.0915806090110499 0.0925259586717385
"después" 0.108077360637088 0.107537084479868 0.0829614372353816 0.113866846955841 0.203006051141909 0.00554385186827808 0.323263850183926 0.0743693479295574 0.14841032208934 0.180359770278608 0.139780929543181 0.200472910455433
"fue" 0.119453924914676 0.0948856627763545 0.193099897013388 0.167241931466391 0.17958227601015 0.0110877037365562 0.0891762345334968 0.179973821989529 0.0874019972654425 0.113911433860174 0.17593116994228 0.0822452965971009
"nos" 0.0360257868790292 0.0822342410728406 0.130163634283099 0.141147445705678 0.314268983017763 0.213438296928706 0.111470293166871 0.211208948119943 0.0995171255992662 0.142389292325217 0.0506103365587381 0.138788938007608
"ser" 0.12514220705347 0.120188506183382 0.130163634283099 0.072352892336524 0.109310950614874 0.141368222641091 0.0780292052168097 0.175511661113755 0.112930303397428 0.156628221557739 0.110860737223903 0.179911586306158
"está" 0.0663632916192643 0.0506056868140557 0.128733264675592 0.130472428803568 0.0702713253952762 0.0859297039583102 0.0780292052168097 0.0847810566396954 0.175669360840444 0.099672504627652 0.0879655849711401 0.0565436414105068
"mismo" 0.145999241562382 0.0695828193693266 0.0672273715528093 0.0806556832603874 0.138590669529573 0.0166315556048342 0.117043807825215 0.116016182770109 0.147977638934561 0.099672504627652 0.151831009676214 0.0411226482985504
"día" 0.142207053469852 0.098048518202233 0.100125872525461 0.130472428803568 0.113214913136834 0 0.133764351800245 0.108579247977154 0.11163225393309 0.128150363092695 0.150626001662911 0.159350262156883
"eso" 0.0265453166477057 0.085397096498719 0.214555441125987 0.176730835379378 0.0605114190903767 0.0803858520900322 0.0445881172667484 0.0892432175154688 0.121151283338237 0.0569557169300869 0.128935857423452 0.0565436414105068
"mis" 0.144103147516117 0.0632571085175697 0.027177022542625 0.072352892336524 0.201054069880929 0.152455926377647 0.640954185709508 0.270704426463589 0.0636044237525745 0.0854335753951303 0.0337402243724921 0.149069600082245
"hombre" 0.15737580583997 0.0442799759622988 0.0629362627302895 0.0593056494561672 0.138590669529573 0.252245260006653 0.0111470293166871 0.139814374107568 0.136727876910296 0.147135602069391 0.0578403846385578 0.0359823172612316
"tiempo" 0.108077360637088 0.0822342410728406 0.044341457832704 0.0972612651081142 0.121022838180753 0.102561259563144 0.100323263850184 0.117503569728701 0.117257134945222 0.147135602069391 0.149420993649608 0.12850827593297
"hay" 0.0417140690178233 0.101211373628111 0.0829614372353816 0.174358609401132 0.0175678313488191 0.207894445060428 0.0278675732917178 0.0818062827225131 0.142785441077208 0.0617020266742608 0.0686854567582874 0.102806620746376
"así" 0.0985968904057641 0.16763133757156 0.111568829385513 0.102005717064608 0.121022838180753 0.00277192593413904 0.156058410433619 0.227570204664445 0.0804790667889718 0.113911433860174 0.0891705929844434 0.0771049655597821
