"","X8546L","X55497L"
"1",8546,55497
"2",5043,26539
"3",19287,112144
"4",4282,19237
"5",12445,93874
"6",8520,33056
"7",8710,37753
"8",3187,17415
"9",15411,129268
"10",15353,129261
"11",6298,78098
"12",3859,18752
"13",3463,18941
"14",15902,128418
"15",8689,51948
"16",8642,51943
"17",7911,39596
"18",8474,53577
"19",4707,18096
"20",9422,47324
"21",9980,50310
"22",10843,60372
"23",8444,39666
"24",8460,39661
"25",8758,48198
"26",15752,86501
"27",4622,30677
"28",3646,19906
"29",4909,31851
"30",3542,25974
"31",15009,93758
"32",12803,121158
"33",12660,121191
"34",12189,88392
"35",10414,66715
"36",10336,66710
"37",5817,32546
"38",8080,48222
"39",6077,34925
"40",13166,109262
"41",8745,58965
"42",8944,53203
"43",8078,73896
"44",12318,95624
"45",8725,90392
"46",8670,90411
"47",7991,50375
"48",5682,23137
"49",11840,93047
"50",3583,14495
"51",12480,76494
"52",11318,67101
"53",13974,74343
"54",19806,185126
"55",2206,8120
"56",4145,15726
"57",1932,6160
"58",2222,7173
"59",3690,14241
"60",10834,60057
"61",12074,67406
"62",8026,47781
"63",15467,133153
"64",15231,139872
"65",6992,29340
"66",9321,62167
"67",12916,82859
"68",12687,65713
"69",9755,52368
"70",8704,44869
"71",2347,9735
"72",9327,38740
"73",15096,71331
"74",2026,7536
"75",21962,121487
"76",2525,10439
"77",12043,54573
"78",14761,78399
"79",13405,94027
"80",6936,55369
"81",9058,45340
"82",9875,58968
"83",5328,33730
"84",8172,87920
"85",2189,7116
"86",12901,69787
"87",5140,21304
"88",5613,24403
"89",14417,94262
"90",12644,76751
"91",31778,173941
"92",14386,101365
"93",9321,54606
"94",31023,398110
"95",24465,311530
"96",10207,59867
"97",10447,56288
"98",10158,62600
"99",8955,54176
"100",12741,92558
"101",13938,72120
"102",14318,87346
"103",13885,82905
"104",13761,68274
"105",7260,84027
"106",15858,87024
"107",2546,16056
"108",10541,64056
"109",7077,27591
"110",2984,16683
"111",5508,27631
"112",1086,3950
"113",2292,9998
"114",3414,16844
"115",2019,7774
"116",3551,15828
"117",1874,7545
"118",3919,20104
"119",6703,27481
"120",4026,29636
"121",10436,50389
"122",8371,70062
"123",23635,384448
"124",19724,145910
"125",3082,12282
"126",1406,5742
"127",1377,5451
"128",5438,34674
"129",57529,146063
"130",2453,10545
"131",1464,5673
"132",3479,24395
"133",10926,51545
"134",14182,101695
"135",13908,87117
"136",12504,79840
"137",4793,26511
"138",9123,53840
"139",6224,28924
"140",9427,57543
"141",5541,33738
"142",12804,86343
"143",8213,38778
"144",18254,148138
"145",6579,25247
"146",13767,95455
"147",7509,55763
"148",13372,104011
"149",8477,34712
"150",17213,138097
"151",7549,35472
"152",13375,70408
"153",13973,100026
"154",16324,134716
"155",16662,131795
"156",8039,54345
"157",8788,54722
"158",10243,80267
"159",14124,67873
"160",8647,57296
"161",12032,92077
"162",9139,59828
"163",9977,49373
"164",8239,77021
