"k"	"type"	"f"
"1"	"1819"	1
"2"	"1820"	1
"3"	"a"	470
"4"	"abandonaba"	2
"5"	"abandonaban"	2
"6"	"abandonada"	3
"7"	"abandonadas"	2
"8"	"abandonado"	1
"9"	"abandonando"	1
"10"	"abandonándolo"	1
"11"	"abandonándome"	1
"12"	"abandonarlo"	1
"13"	"abandoné"	1
"14"	"abandono"	2
"15"	"abastecerla"	1
"16"	"abatida"	1
"17"	"abatido"	1
"18"	"abiertas"	2
"19"	"abismo"	1
"20"	"abovedaba"	1
"21"	"abovedadas"	1
"22"	"abracé"	1
"23"	"abrasadas"	1
"24"	"abrazado"	1
"25"	"abrazando"	1
"26"	"abrazándola"	1
"27"	"abrazarme"	1
"28"	"abrazo"	1
"29"	"abrazó"	1
"30"	"abrí"	5
"31"	"abriendo"	1
"32"	"abrillantados"	1
"33"	"abrió"	3
"34"	"abrir"	1
"35"	"abrumadas"	1
"36"	"abrumador"	1
"37"	"abuela"	1
"38"	"abundante"	3
"39"	"abundantes"	1
"40"	"abusando"	1
"41"	"acababa"	12
"42"	"acabábamos"	2
"43"	"acababan"	1
"44"	"acabando"	1
"45"	"acabar"	1
"46"	"acabo"	1
"47"	"acallado"	1
"48"	"acariciaba"	3
"49"	"acariciar"	1
"50"	"acaricié"	1
"51"	"acaso"	6
"52"	"acceso"	6
"53"	"aceleradamente"	1
"54"	"acento"	12
"55"	"acentos"	1
"56"	"acentuó"	1
"57"	"aceptado"	1
"58"	"aceptar"	1
"59"	"aceptó"	1
"60"	"acercaba"	1
"61"	"acercado"	1
"62"	"acercando"	2
"63"	"acercándose"	1
"64"	"acercarme"	4
"65"	"acercármele"	1
"66"	"acercarse"	4
"67"	"acercó"	7
"68"	"acerqué"	2
"69"	"acerquéme"	1
"70"	"acogidos"	1
"71"	"acojinado"	1
"72"	"acompañada"	1
"73"	"acompañarlo"	1
"74"	"acompañarme"	1
"75"	"acompañaron"	1
"76"	"acompañarte"	1
"77"	"aconsejadas"	1
"78"	"acordado"	1
"79"	"acordes"	1
"80"	"acostar"	1
"81"	"acostumbraba"	1
"82"	"acostumbrado"	2
"83"	"acrecentado"	1
"84"	"acusaron"	1
"85"	"adelantaba"	1
"86"	"adelantado"	2
"87"	"adelante"	4
"88"	"ademán"	1
"89"	"adentro"	1
"90"	"adiós"	8
"91"	"adioses"	3
"92"	"adivinaba"	1
"93"	"adivinando"	1
"94"	"adivinar"	2
"95"	"adivinarme"	1
"96"	"admirable"	1
"97"	"admirables"	2
"98"	"admiradas"	1
"99"	"admirado"	1
"100"	"admirar"	2
"101"	"admiré"	1
"102"	"admiró"	1
"103"	"adolescencia"	2
"104"	"adolorida"	1
"105"	"adoptar"	1
"106"	"adormecía"	1
"107"	"adormidera"	1
"108"	"adormideras"	1
"109"	"adornaban"	1
"110"	"adornada"	1
"111"	"adornado"	1
"112"	"adornos"	1
"113"	"adueñado"	1
"114"	"adueñó"	1
"115"	"afectación"	1
"116"	"afecto"	2
"117"	"afectuosa"	1
"118"	"afectuosamente"	1
"119"	"afectuosos"	1
"120"	"afelpados"	1
"121"	"aficionados"	1
"122"	"aficionó"	1
"123"	"aflijas"	1
"124"	"agasajadora"	1
"125"	"agasajaron"	1
"126"	"agasajo"	1
"127"	"agilidad"	1
"128"	"agitaba"	1
"129"	"agitándome"	1
"130"	"aglomerada"	1
"131"	"agobiado"	1
"132"	"agonía"	1
"133"	"agostarla"	1
"134"	"agosto"	2
"135"	"agotaba"	1
"136"	"agotaron"	1
"137"	"agradaban"	1
"138"	"agradecí"	1
"139"	"agrandados"	1
"140"	"agravar"	1
"141"	"agregados"	1
"142"	"agregar"	2
"143"	"agregó"	4
"144"	"agregué"	1
"145"	"agua"	2
"146"	"aguardaban"	1
"147"	"aguardando"	1
"148"	"aguardar"	1
"149"	"aguas"	4
"150"	"agudo"	1
"151"	"aguijoneé"	1
"152"	"ah"	5
"153"	"ahí"	1
"154"	"ahogaban"	3
"155"	"ahogada"	1
"156"	"ahogado"	1
"157"	"ahogarte"	1
"158"	"ahora"	7
"159"	"aire"	2
"160"	"aislado"	1
"161"	"ajados"	2
"162"	"ajé"	1
"163"	"ajeno"	1
"164"	"ajuar"	1
"165"	"al"	135
"166"	"ala"	2
"167"	"alabanza"	1
"168"	"alaridos"	1
"169"	"alas"	1
"170"	"albahaca"	1
"171"	"albahacas"	1
"172"	"alboradas"	1
"173"	"alborotaban"	1
"174"	"alcance"	1
"175"	"alcancé"	1
"176"	"alcanzar"	1
"177"	"alcoba"	4
"178"	"aldea"	1
"179"	"alegres"	2
"180"	"alejaron"	1
"181"	"alejarse"	2
"182"	"alejarte"	1
"183"	"alentaba"	1
"184"	"aleteaban"	1
"185"	"aleteó"	1
"186"	"alfandoques"	1
"187"	"alfombra"	2
"188"	"alfombras"	1
"189"	"algarabía"	1
"190"	"algo"	19
"191"	"algodón"	1
"192"	"algún"	6
"193"	"alguna"	7
"194"	"algunas"	19
"195"	"alguno"	1
"196"	"algunos"	14
"197"	"aliento"	5
"198"	"aliviado"	1
"199"	"alivio"	2
"200"	"allá"	2
"201"	"allí"	18
"202"	"alma"	18
"203"	"almas"	1
"204"	"almohadón"	4
"205"	"almohadones"	3
"206"	"almuerzo"	3
"207"	"alrededor"	5
"208"	"alta"	1
"209"	"altar"	1
"210"	"altares"	2
"211"	"alterada"	1
"212"	"alterado"	1
"213"	"altísimas"	2
"214"	"altiva"	1
"215"	"alto"	1
"216"	"altura"	2
"217"	"alumbraban"	1
"218"	"alumbrada"	1
"219"	"alumbrado"	1
"220"	"ama"	1
"221"	"amaba"	4
"222"	"amaban"	1
"223"	"amable"	2
"224"	"amada"	3
"225"	"amado"	4
"226"	"amados"	2
"227"	"amaime"	2
"228"	"aman"	1
"229"	"amanecer"	1
"230"	"amanecía"	1
"231"	"amante"	1
"232"	"amantes"	1
"233"	"amar"	1
"234"	"amara"	1
"235"	"amará"	1
"236"	"amargura"	2
"237"	"amarilleaban"	1
"238"	"amarillento"	1
"239"	"amarillos"	1
"240"	"amarla"	2
"241"	"amas"	2
"242"	"amase"	1
"243"	"amasteis"	1
"244"	"ambas"	1
"245"	"ame"	1
"246"	"amé"	1
"247"	"amena"	2
"248"	"amenaza"	1
"249"	"amenazada"	2
"250"	"américa"	1
"251"	"amigas"	1
"252"	"amigo"	5
"253"	"amigos"	2
"254"	"aminoraba"	1
"255"	"amistosamente"	1
"256"	"amito"	1
"257"	"amo"	7
"258"	"amor"	26
"259"	"amores"	5
"260"	"amorosa"	1
"261"	"amoroso"	1
"262"	"amos"	1
"263"	"añadió"	2
"264"	"ancha"	3
"265"	"anchas"	1
"266"	"ancho"	1
"267"	"anchos"	2
"268"	"anciana"	1
"269"	"anciano"	1
"270"	"ancianos"	1
"271"	"andado"	1
"272"	"andar"	1
"273"	"anduve"	1
"274"	"anécdotas"	1
"275"	"ángel"	5
"276"	"ángulos"	1
"277"	"angustia"	1
"278"	"angustiosa"	1
"279"	"anhelosa"	1
"280"	"anima"	1
"281"	"animada"	2
"282"	"animado"	1
"283"	"animador"	1
"284"	"animal"	3
"285"	"animales"	1
"286"	"animó"	1
"287"	"anoche"	3
"288"	"anochecer"	1
"289"	"años"	23
"290"	"añosos"	1
"291"	"anselmo"	1
"292"	"ansiaban"	1
"293"	"ansiedad"	2
"294"	"ansiosa"	1
"295"	"ante"	8
"296"	"antes"	22
"297"	"antigua"	1
"298"	"antillas"	1
"299"	"antioqueña"	1
"300"	"antioqueño"	1
"301"	"anunció"	2
"302"	"apacible"	1
"303"	"apagaba"	1
"304"	"apagó"	1
"305"	"aparecer"	2
"306"	"aparecerían"	1
"307"	"aparejaba"	1
"308"	"aparentando"	1
"309"	"apartaba"	1
"310"	"apartando"	1
"311"	"apartándome"	1
"312"	"apeándome"	1
"313"	"apearse"	1
"314"	"apeé"	1
"315"	"apeéme"	1
"316"	"apenas"	4
"317"	"apercibido"	1
"318"	"aplanchada"	1
"319"	"aposento"	4
"320"	"aposentos"	1
"321"	"apostura"	1
"322"	"apoyaba"	3
"323"	"apoyado"	2
"324"	"apoyándose"	1
"325"	"apoyo"	1
"326"	"apoyó"	3
"327"	"apresuró"	1
"328"	"aprobación"	1
"329"	"aproximárseme"	1
"330"	"aptitudes"	1
