"k"	"type"	"f"
"1"	"000"	3
"2"	"1"	2
"3"	"10"	1
"4"	"100"	4
"5"	"112"	3
"6"	"116"	1
"7"	"118"	1
"8"	"12"	2
"9"	"130"	1
"10"	"14"	3
"11"	"140"	2
"12"	"1748"	1
"13"	"1769"	1
"14"	"1775"	1
"15"	"1782"	1
"16"	"1793"	1
"17"	"1796"	1
"18"	"1797"	1
"19"	"18"	3
"20"	"1801"	1
"21"	"1804"	1
"22"	"1805"	3
"23"	"1806"	1
"24"	"1816"	1
"25"	"1834"	1
"26"	"1873"	1
"27"	"19"	2
"28"	"2"	3
"29"	"20"	2
"30"	"21"	12
"31"	"22"	2
"32"	"220"	1
"33"	"23"	3
"34"	"24"	2
"35"	"27"	1
"36"	"28"	1
"37"	"3"	2
"38"	"30"	1
"39"	"300"	3
"40"	"32"	1
"41"	"34"	1
"42"	"36"	3
"43"	"4"	3
"44"	"40"	1
"45"	"5"	4
"46"	"58"	1
"47"	"6"	2
"48"	"600"	1
"49"	"61"	1
"50"	"7"	3
"51"	"74"	6
"52"	"76"	1
"53"	"8"	1
"54"	"80"	3
"55"	"92"	1
"56"	"95"	2
"57"	"a"	1324
"58"	"abad"	1
"59"	"abadejo"	1
"60"	"abajo"	1
"61"	"abandona"	1
"62"	"abandonadas"	1
"63"	"abandonado"	4
"64"	"abandonados"	1
"65"	"abandonamos"	1
"66"	"abandonan"	1
"67"	"abandonar"	5
"68"	"abandonaron"	1
"69"	"abandoné"	1
"70"	"abandones"	2
"71"	"abandono"	3
"72"	"abandonó"	2
"73"	"abate"	1
"74"	"abatida"	1
"75"	"abatido"	3
"76"	"abatimiento"	3
"77"	"aberración"	1
"78"	"abiertas"	1
"79"	"abierto"	2
"80"	"abismo"	4
"81"	"ablandar"	1
"82"	"abnegación"	1
"83"	"abochornado"	1
"84"	"abolengo"	1
"85"	"abordaje"	5
"86"	"abordajes"	1
"87"	"abordarse"	1
"88"	"aborrecería"	1
"89"	"aborrecía"	1
"90"	"aborrecían"	1
"91"	"aborrecimiento"	1
"92"	"aborrezco"	2
"93"	"abracé"	1
"94"	"abrazado"	1
"95"	"abrazando"	1
"96"	"abrazándome"	1
"97"	"abrazar"	1
"98"	"abrazarán"	1
"99"	"abrazaron"	2
"100"	"abrázate"	2
"101"	"abrazole"	1
"102"	"abrazos"	1
"103"	"abreviar"	1
"104"	"abrí"	2
"105"	"abriendo"	1
"106"	"abrieron"	1
"107"	"abrió"	2
"108"	"abrir"	2
"109"	"abrirle"	1
"110"	"absoluto"	2
"111"	"absorbían"	1
"112"	"absorto"	4
"113"	"absuelva"	1
"114"	"absurda"	1
"115"	"absurdo"	1
"116"	"abuelas"	1
"117"	"abundancia"	2
"118"	"abundantes"	1
"119"	"aburría"	1
"120"	"acá"	6
"121"	"acaba"	2
"122"	"acababa"	2
"123"	"acabada"	2
"124"	"acabado"	1
"125"	"acabara"	1
"126"	"acabará"	1
"127"	"acabaron"	2
"128"	"acabo"	1
"129"	"acabó"	5
"130"	"academia"	3
"131"	"academias"	1
"132"	"académico"	1
"133"	"acaecido"	1
"134"	"acallarla"	1
"135"	"acalorada"	1
"136"	"acaloradamente"	1
"137"	"acariciaba"	1
"138"	"acariciaban"	1
"139"	"acaso"	1
"140"	"accidental"	1
"141"	"accidente"	2
"142"	"accidentes"	2
"143"	"acción"	19
"144"	"acciones"	4
"145"	"aceitunas"	1
"146"	"acelerada"	1
"147"	"acelerase"	1
"148"	"acelere"	1
"149"	"aceleró"	1
"150"	"acento"	2
"151"	"aceptar"	1
"152"	"acerca"	1
"153"	"acercaba"	1
"154"	"acercábamos"	1
"155"	"acercaban"	3
"156"	"acercado"	1
"157"	"acercanos"	1
"158"	"acercarse"	1
"159"	"acercó"	4
"160"	"acero"	1
"161"	"acerqué"	3
"162"	"acerqueme"	3
"163"	"achaques"	1
"164"	"achican"	1
"165"	"achicar"	1
"166"	"achicarse"	1
"167"	"achicó"	1
"168"	"achilles"	1
"169"	"_achilles_"	2
"170"	"acierto"	2
"171"	"aclamaciones"	1
"172"	"aclarando"	1
"173"	"aclaró"	1
"174"	"acobardado"	1
"175"	"acobardó"	1
"176"	"acometer"	1
"177"	"acompaña"	1
"178"	"acompañaba"	4
"179"	"acompañado"	4
"180"	"acompañando"	2
"181"	"acompañarla"	1
"182"	"acompañarles"	1
"183"	"acompañaron"	1
